# PA_WALK.cal_w golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_WALK.py 直接 exec 生成
# 列: ts,faai,cg_x,cg_y,l,xf,h,t,r1,r4,r2,r3,body_h,gyro,x1,x2,x3,x4,y1,y2,y3,y4,gpit,grol,gx
# gpit/grol/gx 是原实现 padog.gesture(0, int(CG_X), int(yst)) 的三个实参
# grol = int(cg_x) 向零截断；gx = int(yst)，注意不是四舍五入
ts,faai,cg_x,cg_y,l,xf,h,t,r1,r4,r2,r3,body_h,gyro,x1,x2,x3,x4,y1,y2,y3,y4,gpit,grol,gx
1.000000,0.300000,0.0000,28.0,230.0,0.000000,38.700000,0.000000,1.0000,1.0000,1.0000,1.0000,110.0,0.0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,-29
1.000000,0.300000,-7.5000,28.0,230.0,38.200000,60.000000,0.000000,1.0000,1.0000,1.0000,1.0000,140.0,-3.0,13.370000000,-3.820000000,-21.010000000,-38.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0,-7,-40
1.000000,0.300000,0.0000,28.0,230.0,0.000000,38.700000,0.000000,1.0000,-2.0000,-1.0000,0.5000,110.0,0.0,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,-29
1.000000,0.300000,-7.5000,28.0,230.0,38.200000,60.000000,0.000000,1.0000,-2.0000,-1.0000,0.5000,140.0,-3.0,13.370000000,3.820000000,-10.505000000,76.400000000,0.000000000,0.000000000,0.000000000,0.000000000,0,-7,-40
1.000000,0.300000,0.0000,28.0,230.0,0.000000,38.700000,0.120000,1.0000,1.0000,1.0000,1.0000,110.0,0.0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,35.004478841,0.000000000,0.000000000,0.000000000,0,0,-29
1.000000,0.300000,-7.5000,28.0,230.0,38.200000,60.000000,0.120000,1.0000,1.0000,1.0000,1.0000,140.0,-3.0,-2.433681764,3.056000000,-14.134000000,-31.324000000,54.270509831,0.000000000,0.000000000,0.000000000,0,-7,-40
1.000000,0.300000,0.0000,28.0,230.0,0.000000,38.700000,0.120000,1.0000,-2.0000,-1.0000,0.5000,110.0,0.0,-0.000000000,0.000000000,-0.000000000,0.000000000,35.004478841,0.000000000,0.000000000,0.000000000,0,0,-29
1.000000,0.300000,-7.5000,28.0,230.0,38.200000,60.000000,0.120000,1.0000,-2.0000,-1.0000,0.5000,140.0,-3.0,-2.433681764,-3.056000000,-7.067000000,62.648000000,54.270509831,0.000000000,0.000000000,0.000000000,0,-7,-40
1.000000,0.300000,0.0000,28.0,230.0,0.000000,38.700000,0.360000,1.0000,1.0000,1.0000,1.0000,110.0,0.0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,13.370521159,0.000000000,0.000000000,0,0,-29
1.000000,0.300000,-7.5000,28.0,230.0,38.200000,60.000000,0.360000,1.0000,1.0000,1.0000,1.0000,140.0,-3.0,-34.762000000,10.861910879,-0.382000000,-17.572000000,0.000000000,20.729490169,0.000000000,0.000000000,0,-7,-40
