# PA_ATTITUDE.cal_ges golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_ATTITUDE.py 直接 exec 生成
# 列: pit,rol,l,b,w,x,hc,x1,x2,x3,x4,y1,y2,y3,y4
# 注意: 输出的 x3 对应腿4, x4 对应腿3（原实现交换过）
pit,rol,l,b,w,x,hc,x1,x2,x3,x4,y1,y2,y3,y4
0.000000,0.000000,230.000000,120.000000,220.000000,0.000000,169.000000,0.000000000,0.000000000,0.000000000,0.000000000,-169.000000000,-169.000000000,-169.000000000,-169.000000000
0.000000,0.000000,230.000000,120.000000,220.000000,40.000000,200.000000,-40.000000000,-40.000000000,-40.000000000,-40.000000000,-200.000000000,-200.000000000,-200.000000000,-200.000000000
0.000000,0.000000,230.000000,120.000000,220.000000,-40.000000,219.000000,40.000000000,40.000000000,40.000000000,40.000000000,-219.000000000,-219.000000000,-219.000000000,-219.000000000
0.000000,15.000000,230.000000,120.000000,220.000000,0.000000,259.000000,0.000000000,0.000000000,0.000000000,0.000000000,-274.529142706,-243.470857294,-243.470857294,-274.529142706
0.000000,15.000000,230.000000,120.000000,220.000000,40.000000,169.000000,-40.000000000,-40.000000000,-40.000000000,-40.000000000,-184.529142706,-153.470857294,-153.470857294,-184.529142706
0.000000,15.000000,230.000000,120.000000,220.000000,-40.000000,200.000000,40.000000000,40.000000000,40.000000000,40.000000000,-215.529142706,-184.470857294,-184.470857294,-215.529142706
0.000000,-15.000000,230.000000,120.000000,220.000000,0.000000,219.000000,0.000000000,0.000000000,0.000000000,0.000000000,-203.470857294,-234.529142706,-234.529142706,-203.470857294
0.000000,-15.000000,230.000000,120.000000,220.000000,40.000000,259.000000,-40.000000000,-40.000000000,-40.000000000,-40.000000000,-243.470857294,-274.529142706,-274.529142706,-243.470857294
0.000000,-15.000000,230.000000,120.000000,220.000000,-40.000000,169.000000,40.000000000,40.000000000,40.000000000,40.000000000,-153.470857294,-184.529142706,-184.529142706,-153.470857294
15.000000,0.000000,230.000000,120.000000,220.000000,0.000000,200.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-229.764190187,-229.764190187,-170.235809813,-170.235809813
15.000000,0.000000,230.000000,120.000000,220.000000,40.000000,219.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-248.764190187,-248.764190187,-189.235809813,-189.235809813
15.000000,0.000000,230.000000,120.000000,220.000000,-40.000000,259.000000,43.918529977,43.918529977,36.081470023,36.081470023,-288.764190187,-288.764190187,-229.235809813,-229.235809813
15.000000,15.000000,230.000000,120.000000,220.000000,0.000000,169.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-213.279142706,-182.220857294,-124.720857294,-155.779142706
15.000000,15.000000,230.000000,120.000000,220.000000,40.000000,200.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-244.279142706,-213.220857294,-155.720857294,-186.779142706
15.000000,15.000000,230.000000,120.000000,220.000000,-40.000000,219.000000,43.918529977,43.918529977,36.081470023,36.081470023,-263.279142706,-232.220857294,-174.720857294,-205.779142706
15.000000,-15.000000,230.000000,120.000000,220.000000,0.000000,259.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-272.220857294,-303.279142706,-245.779142706,-214.720857294
15.000000,-15.000000,230.000000,120.000000,220.000000,40.000000,169.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-182.220857294,-213.279142706,-155.779142706,-124.720857294
15.000000,-15.000000,230.000000,120.000000,220.000000,-40.000000,200.000000,43.918529977,43.918529977,36.081470023,36.081470023,-213.220857294,-244.279142706,-186.779142706,-155.720857294
-15.000000,0.000000,230.000000,120.000000,220.000000,0.000000,219.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-189.235809813,-189.235809813,-248.764190187,-248.764190187
-15.000000,0.000000,230.000000,120.000000,220.000000,40.000000,259.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-229.235809813,-229.235809813,-288.764190187,-288.764190187
-15.000000,0.000000,230.000000,120.000000,220.000000,-40.000000,169.000000,43.918529977,43.918529977,36.081470023,36.081470023,-139.235809813,-139.235809813,-198.764190187,-198.764190187
-15.000000,15.000000,230.000000,120.000000,220.000000,0.000000,200.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-186.779142706,-155.720857294,-213.220857294,-244.279142706
-15.000000,15.000000,230.000000,120.000000,220.000000,40.000000,219.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-205.779142706,-174.720857294,-232.220857294,-263.279142706
-15.000000,15.000000,230.000000,120.000000,220.000000,-40.000000,259.000000,43.918529977,43.918529977,36.081470023,36.081470023,-245.779142706,-214.720857294,-272.220857294,-303.279142706
-15.000000,-15.000000,230.000000,120.000000,220.000000,0.000000,169.000000,3.918529977,3.918529977,-3.918529977,-3.918529977,-124.720857294,-155.779142706,-213.279142706,-182.220857294
-15.000000,-15.000000,230.000000,120.000000,220.000000,40.000000,200.000000,-36.081470023,-36.081470023,-43.918529977,-43.918529977,-155.720857294,-186.779142706,-244.279142706,-213.220857294
-15.000000,-15.000000,230.000000,120.000000,220.000000,-40.000000,219.000000,43.918529977,43.918529977,36.081470023,36.081470023,-174.720857294,-205.779142706,-263.279142706,-232.220857294
2.592100,6.294300,230.000000,120.000000,220.000000,-44.673000,259.000000,44.790666276,44.790666276,44.555333724,44.555333724,-270.747677509,-257.591426201,-247.252322491,-260.408573799
12.028500,-2.700600,230.000000,120.000000,220.000000,-31.049800,169.000000,33.574733038,33.574733038,28.524866962,28.524866962,-190.112163108,-195.766192435,-147.887836892,-142.233807565
-1.855200,-14.365600,230.000000,120.000000,220.000000,26.730400,200.000000,-26.670120991,-26.670120991,-26.790679009,-26.790679009,-181.506935728,-211.279933117,-218.493064272,-188.720066883
0.328700,-0.886000,230.000000,120.000000,220.000000,55.406400,219.000000,-55.404507566,-55.404507566,-55.408292434,-55.408292434,-218.731880633,-220.587440741,-219.268119367,-217.412559259
11.004500,-11.267600,230.000000,120.000000,220.000000,-37.486100,259.000000,39.600697654,39.600697654,35.371502346,35.371502346,-268.805289079,-292.252279689,-249.194710921,-225.747720311
-2.118500,-9.449200,230.000000,120.000000,220.000000,-0.809800,169.000000,0.888401356,0.888401356,0.731198644,0.731198644,-154.956163664,-174.656932472,-183.043836336,-163.343067528
-0.666800,11.963200,230.000000,120.000000,220.000000,-21.240300,200.000000,21.248087694,21.248087694,21.232512306,21.232512306,-211.127748091,-186.253739828,-188.872251909,-213.746260172
4.614800,0.695500,230.000000,120.000000,220.000000,-0.014200,219.000000,0.387015151,0.387015151,-0.358615151,-0.358615151,-228.980112152,-227.523496131,-209.019887848,-210.476503869
-0.995600,1.422500,230.000000,120.000000,220.000000,14.411300,259.000000,-14.393938733,-14.393938733,-14.428661267,-14.428661267,-258.491904581,-255.512933607,-259.508095419,-262.487066393
-13.972500,-4.290900,230.000000,120.000000,220.000000,7.669400,169.000000,-4.266748799,-4.266748799,-11.072051201,-11.072051201,-136.821152177,-145.799593935,-201.178847823,-192.200406065
0.946000,3.145400,230.000000,120.000000,220.000000,20.906700,200.000000,-20.891025453,-20.891025453,-20.922374547,-20.922374547,-205.187998063,-198.603596156,-194.812001937,-201.396403844
-6.963800,-9.157700,230.000000,120.000000,220.000000,-24.678200,219.000000,25.526560554,25.526560554,23.829839446,23.829839446,-195.685717946,-214.784001972,-242.314282054,-223.215998028
5.470800,-12.446700,230.000000,120.000000,220.000000,-33.662500,259.000000,34.186334711,34.186334711,33.138665289,33.138665289,-256.774357304,-282.638114602,-261.225642696,-235.361885398
14.329600,-6.939500,230.000000,120.000000,220.000000,24.294700,169.000000,-20.716819781,-20.716819781,-27.872580219,-27.872580219,-190.004671669,-204.503218328,-147.995328331,-133.496781672
11.900000,-12.774300,230.000000,120.000000,220.000000,-59.026400,200.000000,61.497866713,61.497866713,56.554933287,56.554933287,-209.859875862,-236.393204559,-190.140124138,-163.606795441
-6.873600,-1.539100,230.000000,120.000000,220.000000,-49.812200,219.000000,50.638751963,50.638751963,48.985648037,48.985648037,-203.630286843,-206.853382688,-234.369713157,-231.146617312
