# PA_TROT.cal_t golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_TROT.py 直接 exec 生成
# 列: ts,faai,t,xs,xf,h,r1,r4,r2,r3,x1,x2,x3,x4,y1,y2,y3,y4
# 注意: r 的顺序与原实现一致，是 r1,r4,r2,r3
ts,faai,t,xs,xf,h,r1,r4,r2,r3,x1,x2,x3,x4,y1,y2,y3,y4
1.000000,0.420000,0.000000000,0.000000,38.200000,38.700000,1.000000,1.000000,1.000000,1.000000,-38.200000000,-0.000000000,-38.200000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,38.200000,38.700000,1.000000,-1.000000,1.000000,-1.000000,-38.200000000,-0.000000000,38.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,38.200000,38.700000,0.000000,1.000000,1.000000,0.000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,38.200000,38.700000,-1.000000,1.000000,1.000000,-1.000000,38.200000000,-0.000000000,38.200000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,60.000000,65.000000,1.000000,1.000000,1.000000,1.000000,-60.000000000,-0.000000000,-60.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,60.000000,65.000000,1.000000,-1.000000,1.000000,-1.000000,-60.000000000,-0.000000000,60.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,60.000000,65.000000,0.000000,1.000000,1.000000,0.000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,60.000000,65.000000,-1.000000,1.000000,1.000000,-1.000000,60.000000000,-0.000000000,60.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,-20.000000,40.000000,50.000000,1.000000,1.000000,1.000000,1.000000,-40.000000000,20.000000000,-40.000000000,20.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,-20.000000,40.000000,50.000000,1.000000,-1.000000,1.000000,-1.000000,-40.000000000,20.000000000,40.000000000,-20.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,-20.000000,40.000000,50.000000,0.000000,1.000000,1.000000,0.000000,-0.000000000,20.000000000,-0.000000000,20.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,-20.000000,40.000000,50.000000,-1.000000,1.000000,1.000000,-1.000000,40.000000000,20.000000000,40.000000000,20.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,10.000000,-40.000000,30.000000,1.000000,1.000000,1.000000,1.000000,40.000000000,-10.000000000,40.000000000,-10.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,10.000000,-40.000000,30.000000,1.000000,-1.000000,1.000000,-1.000000,40.000000000,-10.000000000,-40.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,10.000000,-40.000000,30.000000,0.000000,1.000000,1.000000,0.000000,0.000000000,-10.000000000,0.000000000,-10.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,10.000000,-40.000000,30.000000,-1.000000,1.000000,1.000000,-1.000000,-40.000000000,-10.000000000,-40.000000000,-10.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,0.000000,40.000000,1.000000,1.000000,1.000000,1.000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,0.000000,40.000000,1.000000,-1.000000,1.000000,-1.000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,0.000000,40.000000,0.000000,1.000000,1.000000,0.000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.000000000,0.000000,0.000000,40.000000,-1.000000,1.000000,1.000000,-1.000000,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1.000000,0.420000,0.042000000,0.000000,38.200000,38.700000,1.000000,1.000000,1.000000,1.000000,-37.953569064,-0.246430936,-37.953569064,-0.246430936,3.695521159,0.000000000,3.695521159,0.000000000
1.000000,0.420000,0.042000000,0.000000,38.200000,38.700000,1.000000,-1.000000,1.000000,-1.000000,-37.953569064,-0.246430936,37.953569064,0.246430936,3.695521159,0.000000000,3.695521159,0.000000000
1.000000,0.420000,0.042000000,0.000000,38.200000,38.700000,0.000000,1.000000,1.000000,0.000000,-0.000000000,-0.246430936,-0.000000000,-0.246430936,3.695521159,0.000000000,3.695521159,0.000000000
1.000000,0.420000,0.042000000,0.000000,38.200000,38.700000,-1.000000,1.000000,1.000000,-1.000000,37.953569064,-0.246430936,37.953569064,-0.246430936,3.695521159,0.000000000,3.695521159,0.000000000
1.000000,0.420000,0.042000000,0.000000,60.000000,65.000000,1.000000,1.000000,1.000000,1.000000,-59.612935703,-0.387064297,-59.612935703,-0.387064297,6.206947683,0.000000000,6.206947683,0.000000000
